session,video_duration_sec,video_duration_min,infant_events,infant_coverage_sec,infant_coverage_pct,caregiver_events,caregiver_coverage_sec,caregiver_coverage_pct,total_coverage_sec,total_coverage_pct,has_paradigm,play_duration,transition_duration,sfp_duration,reunion_duration
Aljuch01_MUC_T3,434.4,7.2,43,359.68,82.8,109,339.44,78.1,362.24,83.4,True,190.72,18.2,102.2,123.24
ANOKPE01_HD_T3,1301.199819,21.7,62,329.66,25.3,108,311.62,23.9,332.26,25.5,True,123.63,16.33,76.63,1084.6
ANSEAN01_HD_T3,361.186395,6.0,42,356.27,98.6,66,343.84,95.2,357.6,99.0,True,122.17,10.9,108.8,119.32
ANSEBE01_HD_T3,879.600326,14.7,49,247.56,28.1,53,216.7,24.6,249.07,28.3,True,130.47,26.2,35.8,687.13
AnSeSu01_MUC_T3,410.16,6.8,56,362.0,88.3,102,320.28,78.1,363.76,88.7,True,167.56,13.08,106.84,122.64
BEMASU01_HD_T3,372.958912,6.2,75,364.57,97.7,82,339.46,91.0,369.03,98.9,True,128.13,25.63,92.27,126.93
BESEHE01_HD_T3,365.180227,6.1,85,360.16,98.6,80,336.36,92.1,362.77,99.3,True,127.93,22.8,95.43,119.01
BROKER01_MUC_T3,404.88,6.7,28,364.52,90.0,97,339.32,83.8,365.28,90.2,True,161.24,21.24,97.8,124.56
CAJARE01_MUC_T3,457.56,7.6,52,360.36,78.8,79,337.72,73.8,362.12,79.1,True,213.28,18.64,101.64,123.96
CAOKKA01_MUC_T3,436.84,7.3,57,360.08,82.4,105,347.6,79.6,363.4,83.2,True,190.88,9.92,109.92,126.08
CHMAMA01_HD_T3,362.022313,6.0,79,355.54,98.2,50,340.7,94.1,357.93,98.9,True,124.9,13.67,104.67,118.79
CoSeSi01_MUC_T3,422.76,7.0,50,311.32,73.6,108,293.84,69.5,313.2,74.1,True,171.12,13.16,106.68,131.8
DAJARO01_MUC_T3,219.44,3.7,21,194.6,88.7,40,163.84,74.7,195.32,89.0,True,144.0,21.8,45.72,7.92
ELAUGA01_MUC_T3,279.68,4.7,38,267.4,95.6,43,261.84,93.6,276.84,99.0,True,31.28,11.72,108.12,128.56
ELFEAN01_HD_T3,381.527075,6.4,102,368.34,96.5,69,338.22,88.6,371.27,97.3,True,129.67,28.3,88.9,134.66
ELFECH01_MUC_T3,389.56,6.5,25,364.76,93.6,91,344.8,88.5,365.72,93.9,True,144.88,15.44,103.6,125.64
ELMASU01_HD_T3,366.666304,6.1,86,360.0,98.2,68,330.9,90.2,362.47,98.9,True,127.23,29.43,91.33,118.67
EvSeLi01_MUC_T3,514.16,8.6,59,438.72,85.3,81,316.32,61.5,441.76,85.9,True,189.8,122.16,66.64,135.52
FRJUGU01_MUC_T3,445.72,7.4,59,362.52,81.3,101,336.24,75.4,364.68,81.8,True,208.12,23.72,91.76,122.08
JaApJo01_MUC_T3,500.2,8.3,86,376.56,75.3,97,360.8,72.1,379.88,75.9,True,256.68,14.96,103.84,124.68
JaSeRe01_MUC_T3,427.36,7.1,19,365.92,85.6,88,346.64,81.1,367.6,86.0,True,184.76,16.76,101.96,123.84
JEAPBA01_HD_T3,370.126077,6.2,84,361.54,97.7,89,345.76,93.4,364.1,98.4,True,128.13,15.03,104.73,122.23
JEAPCO01_HD_T3,339.429297,5.7,50,331.8,97.8,53,315.06,92.8,333.57,98.3,True,132.27,15.57,103.9,87.7
JEOKSI01_HD_T3,374.236009,6.2,77,367.94,98.3,86,344.25,92.0,370.33,99.0,True,122.63,12.33,108.43,130.84
JIFEHE01_HD_T3,365.876825,6.1,57,359.8,98.3,51,339.07,92.7,361.46,98.8,True,125.2,14.77,106.23,119.68
JOAUUN01_HD_T3,362.231293,6.0,46,357.04,98.6,60,339.47,93.7,358.53,99.0,True,122.47,16.57,103.5,119.7
JoOkGe01_MUC_T3,485.96,8.1,44,366.44,75.4,98,344.68,70.9,367.8,75.7,True,238.64,10.4,110.12,126.8
Jujulu01_MUC_T3,466.36,7.8,57,361.36,77.5,61,341.28,73.2,364.56,78.2,True,221.24,19.48,101.92,123.72
JUMAIS01_MUC_T3,711.68,11.9,23,363.16,51.0,93,337.68,47.4,364.2,51.2,True,140.52,20.08,101.2,449.88
KaJaMa01_MUC_T3,421.84,7.0,27,362.48,85.9,89,349.88,82.9,363.48,86.2,True,178.4,9.8,110.8,122.84
KAJUHE01STERN_MUC_T3,437.44,7.3,36,363.04,83.0,61,331.36,75.7,364.24,83.3,True,148.56,15.12,111.8,161.96
Kamaev01_MUC_T3,382.96,6.4,40,362.52,94.7,80,342.2,89.4,364.76,95.2,True,141.44,18.92,100.2,122.4
LAMASY01_MUC_T3,423.16,7.1,67,362.56,85.7,73,326.92,77.3,365.88,86.5,True,181.32,35.56,82.56,123.72
LAOKIR01_MUC_T3,444.64,7.4,34,360.0,81.0,52,341.16,76.7,362.52,81.5,True,197.2,17.64,102.16,127.64
LeApMo01_MUC_T3,413.76,6.9,35,364.24,88.0,59,347.96,84.1,366.36,88.5,True,172.68,14.44,104.68,121.96
LESERE01_HD_T3,371.240635,6.2,27,366.4,98.7,101,347.54,93.6,367.3,98.9,True,126.73,14.67,104.6,125.24
LIAPKA01_MUC_T3,413.2,6.9,27,366.4,88.7,69,349.52,84.6,368.24,89.1,True,169.04,15.2,100.24,128.72
LIDEMA01_HD_T3,364.042449,6.1,39,359.24,98.7,63,343.77,94.4,360.43,99.0,True,123.17,14.13,105.87,120.88
LIMABE01_MUC_T3,462.8,7.7,55,361.32,78.1,98,343.88,74.3,364.92,78.9,True,203.36,16.88,93.8,148.76
LiNoBe01_MUC_T3,406.88,6.8,71,362.4,89.1,71,345.96,85.0,365.52,89.8,True,164.08,15.56,103.96,123.28
LISEUL01_HD_T3,367.548662,6.1,76,360.04,98.0,74,334.9,91.1,362.1,98.5,True,127.77,21.57,98.2,120.02
MAAPGE01_HD_T3,362.626032,6.0,35,358.1,98.8,73,338.4,93.3,358.97,99.0,True,122.3,15.3,104.57,120.46
MAAPKE01_HD_T3,400.706757,6.7,80,365.63,91.2,92,341.94,85.3,368.17,91.9,True,128.93,21.2,96.13,154.44
MaAuHe01STERN_MUC_T3,464.88,7.7,42,361.72,77.8,75,336.88,72.5,363.32,78.2,True,213.16,20.72,104.32,126.68
MADECA01_HD_T3,436.302948,7.3,26,375.8,86.1,77,354.37,81.2,376.67,86.3,True,132.1,14.3,106.37,183.54
